"Month Name","Agency","Description","Borough","# of Incidents","Response Times"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Brooklyn","526","0.19"
"2025 / 09","FDNY","Average response time to structural fires","Bronx","253","348.57"
"2025 / 09","FDNY","Average response time to non-structural fires","Bronx","105","403.10"
"2025 / 09","FDNY","Average response time to non-fire emergencies","Bronx","6,444","880.68"
"2025 / 09","FDNY","Average response time to life threatening medical emergencies by fire units","Bronx","2,759","731.80"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Bronx","358","36.31"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Bronx","358","60.61"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Bronx","358","2.23"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Bronx","358","0.84"
"2025 / 09","FDNY","Average response time to structural fires","Manhattan","194","300.18"
"2025 / 09","FDNY","Average response time to non-structural fires","Manhattan","148","409.93"
"2025 / 09","FDNY","Average response time to non-fire emergencies","Manhattan","6,748","683.87"
"2025 / 09","FDNY","Average response time to life threatening medical emergencies by fire units","Manhattan","3,127","691.56"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Manhattan","342","38.60"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Manhattan","342","57.02"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Manhattan","342","4.39"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Manhattan","342","0.00"
"2025 / 09","FDNY","Average response time to structural fires","Queens","177","314.79"
"2025 / 09","FDNY","Average response time to non-structural fires","Queens","152","419.78"
"2025 / 09","FDNY","Average response time to non-fire emergencies","Queens","5,879","692.69"
"2025 / 09","FDNY","Average response time to life threatening medical emergencies by fire units","Queens","3,151","593.72"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Queens","329","37.39"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Queens","329","57.45"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Queens","329","4.26"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Queens","329","0.91"
"2025 / 09","FDNY","Average response time to structural fires","Staten Island","38","428.92"
"2025 / 09","FDNY","Average response time to non-structural fires","Staten Island","60","419.73"
"2025 / 09","FDNY","Average response time to non-fire emergencies","Staten Island","1,369","578.71"
"2025 / 09","FDNY","Average response time to life threatening medical emergencies by fire units","Staten Island","753","514.54"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Staten Island","98","30.61"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Staten Island","98","61.22"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Staten Island","98","6.12"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Staten Island","98","2.04"
"2025 / 09","FDNY","Average response time to non-structural fires","Unspecified","1","421.00"
"2025 / 09","FDNY","Average response time to non-fire emergencies","Unspecified","49","775.59"
"2025 / 09","FDNY","Average response time to life threatening medical emergencies by fire units","Unspecified","9","732.33"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Unspecified","1","0.00"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Unspecified","1","100.00"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Unspecified","1","0.00"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Unspecified","1","0.00"
"2025 / 08","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Brooklyn","13,846","581.88"
"2025 / 08","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Bronx","11,409","806.67"
"2025 / 08","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Manhattan","11,552","689.86"
"2025 / 08","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Queens","10,108","665.24"
"2025 / 08","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Staten Island","2,144","563.28"
"2025 / 08","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Unspecified","58","872.34"
"2025 / 08","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Brooklyn","595","515.87"
"2025 / 08","EMS","Average response time to life threatening medical emergencies by ambulance units","Brooklyn","12,953","622.68"
"2025 / 08","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Brooklyn","27,726","881.92"
"2025 / 08","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Brooklyn","5,058","50.61"
"2025 / 08","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Bronx","435","671.66"
"2025 / 08","EMS","Average response time to life threatening medical emergencies by ambulance units","Bronx","9,912","814.48"
"2025 / 08","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Bronx","23,500","1,414.91"
"2025 / 08","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Bronx","2,718","23.88"
"2025 / 08","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Manhattan","360","550.78"
"2025 / 08","EMS","Average response time to life threatening medical emergencies by ambulance units","Manhattan","10,371","702.88"
"2025 / 08","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Manhattan","22,344","1,111.16"
"2025 / 08","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Manhattan","4,388","44.37"
"2025 / 08","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Queens","471","588.35"
"2025 / 08","EMS","Average response time to life threatening medical emergencies by ambulance units","Queens","9,104","716.61"
"2025 / 08","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Queens","20,207","1,026.14"
"2025 / 08","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Queens","3,095","37.93"
"2025 / 08","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Staten Island","113","528.17"
"2025 / 08","EMS","Average response time to life threatening medical emergencies by ambulance units","Staten Island","2,016","626.60"
"2025 / 08","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Staten Island","4,185","765.41"
"2025 / 08","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Staten Island","1,021","48.97"
"2025 / 08","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Unspecified","1","497.00"
"2025 / 08","EMS","Average response time to life threatening medical emergencies by ambulance units","Unspecified","42","836.74"
"2025 / 08","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Unspecified","136","1,239.59"
"2025 / 08","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Unspecified","8","25.00"
"2025 / 08","FDNY","Average response time to structural fires","Brooklyn","304","267.20"
"2025 / 08","FDNY","Average response time to non-structural fires","Brooklyn","253","339.18"
"2025 / 08","FDNY","Average response time to non-fire emergencies","Brooklyn","8,299","580.57"
"2025 / 08","FDNY","Average response time to life threatening medical emergencies by fire units","Brooklyn","4,166","530.34"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Brooklyn","557","61.76"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Brooklyn","557","36.27"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Brooklyn","557","1.62"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Brooklyn","557","0.36"
"2025 / 08","FDNY","Average response time to structural fires","Bronx","280","326.04"
"2025 / 08","FDNY","Average response time to non-structural fires","Bronx","131","408.27"
"2025 / 08","FDNY","Average response time to non-fire emergencies","Bronx","6,720","804.36"
"2025 / 08","FDNY","Average response time to life threatening medical emergencies by fire units","Bronx","2,773","673.74"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Bronx","411","32.12"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Bronx","411","65.21"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Bronx","411","2.92"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Bronx","411","0.00"
"2025 / 08","FDNY","Average response time to structural fires","Manhattan","174","305.27"
"2025 / 08","FDNY","Average response time to non-structural fires","Manhattan","190","389.73"
"2025 / 08","FDNY","Average response time to non-fire emergencies","Manhattan","6,694","672.68"
"2025 / 08","FDNY","Average response time to life threatening medical emergencies by fire units","Manhattan","2,898","612.18"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Manhattan","364","36.26"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Manhattan","364","60.71"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Manhattan","364","2.75"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Manhattan","364","0.27"
"2025 / 08","FDNY","Average response time to structural fires","Queens","191","325.23"
"2025 / 08","FDNY","Average response time to non-structural fires","Queens","168","397.86"
"2025 / 08","FDNY","Average response time to non-fire emergencies","Queens","6,005","674.86"
"2025 / 08","FDNY","Average response time to life threatening medical emergencies by fire units","Queens","3,096","582.43"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Queens","359","40.67"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Queens","359","55.71"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Queens","359","3.06"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Queens","359","0.56"
"2025 / 08","FDNY","Average response time to structural fires","Staten Island","49","312.82"
"2025 / 08","FDNY","Average response time to non-structural fires","Staten Island","56","439.29"
"2025 / 08","FDNY","Average response time to non-fire emergencies","Staten Island","1,405","574.85"
"2025 / 08","FDNY","Average response time to life threatening medical emergencies by fire units","Staten Island","764","498.18"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Staten Island","105","38.10"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Staten Island","105","56.19"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Staten Island","105","5.71"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Staten Island","105","0.95"
"2025 / 08","FDNY","Average response time to non-structural fires","Unspecified","1","513.00"
"2025 / 08","FDNY","Average response time to non-fire emergencies","Unspecified","52","894.35"
"2025 / 08","FDNY","Average response time to life threatening medical emergencies by fire units","Unspecified","13","699.69"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Unspecified","1","0.00"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Unspecified","1","100.00"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Unspecified","1","0.00"
"2025 / 08","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Unspecified","1","0.00"
"2025 / 07","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Brooklyn","14,661","591.85"
"2025 / 07","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Bronx","11,701","801.99"
"2025 / 07","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Manhattan","12,608","710.36"
"2025 / 07","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Queens","10,647","645.36"
"2025 / 07","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Staten Island","2,387","569.75"
"2025 / 07","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Unspecified","75","813.51"
"2025 / 07","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Brooklyn","605","546.81"
"2025 / 07","EMS","Average response time to life threatening medical emergencies by ambulance units","Brooklyn","13,801","623.82"
"2025 / 07","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Brooklyn","28,877","879.37"
"2025 / 07","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Brooklyn","5,182","49.98"
"2025 / 07","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Bronx","431","611.80"
"2025 / 07","EMS","Average response time to life threatening medical emergencies by ambulance units","Bronx","10,159","801.22"
"2025 / 07","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Bronx","24,343","1,395.21"
"2025 / 07","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Bronx","2,884","25.49"
"2025 / 07","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Manhattan","440","564.48"
"2025 / 07","EMS","Average response time to life threatening medical emergencies by ambulance units","Manhattan","11,332","748.11"
"2025 / 07","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Manhattan","23,599","1,225.06"
"2025 / 07","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Manhattan","4,638","39.87"
"2025 / 07","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Queens","463","587.06"
"2025 / 07","EMS","Average response time to life threatening medical emergencies by ambulance units","Queens","9,683","698.68"
"2025 / 07","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Queens","21,463","975.32"
"2025 / 07","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Queens","3,228","38.91"
"2025 / 07","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Staten Island","127","522.44"
"2025 / 07","EMS","Average response time to life threatening medical emergencies by ambulance units","Staten Island","2,233","626.70"
"2025 / 07","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Staten Island","4,579","786.32"
"2025 / 07","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Staten Island","1,081","47.09"
"2025 / 07","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Unspecified","4","540.25"
"2025 / 07","EMS","Average response time to life threatening medical emergencies by ambulance units","Unspecified","55","805.58"
"2025 / 07","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Unspecified","163","1,155.99"
"2025 / 07","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Unspecified","10","20.00"
"2025 / 07","FDNY","Average response time to structural fires","Brooklyn","333","278.06"
"2025 / 07","FDNY","Average response time to non-structural fires","Brooklyn","354","341.52"
"2025 / 07","FDNY","Average response time to non-fire emergencies","Brooklyn","8,879","593.40"
"2025 / 07","FDNY","Average response time to life threatening medical emergencies by fire units","Brooklyn","4,397","531.55"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Brooklyn","687","55.31"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Brooklyn","687","42.50"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Brooklyn","687","1.89"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Brooklyn","687","0.44"
"2025 / 07","FDNY","Average response time to structural fires","Bronx","276","327.69"
"2025 / 07","FDNY","Average response time to non-structural fires","Bronx","173","399.87"
"2025 / 07","FDNY","Average response time to non-fire emergencies","Bronx","7,221","786.72"
"2025 / 07","FDNY","Average response time to life threatening medical emergencies by fire units","Bronx","2,846","668.53"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Bronx","449","31.63"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Bronx","449","65.48"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Bronx","449","3.12"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Bronx","449","0.00"
"2025 / 07","FDNY","Average response time to structural fires","Manhattan","195","316.40"
"2025 / 07","FDNY","Average response time to non-structural fires","Manhattan","173","381.83"
"2025 / 07","FDNY","Average response time to non-fire emergencies","Manhattan","7,252","659.77"
"2025 / 07","FDNY","Average response time to life threatening medical emergencies by fire units","Manhattan","3,293","627.01"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Manhattan","368","39.95"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Manhattan","368","56.79"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Manhattan","368","2.99"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Manhattan","368","0.27"
"2025 / 07","FDNY","Average response time to structural fires","Queens","165","325.61"
"2025 / 07","FDNY","Average response time to non-structural fires","Queens","246","389.40"
"2025 / 07","FDNY","Average response time to non-fire emergencies","Queens","6,392","661.23"
"2025 / 07","FDNY","Average response time to life threatening medical emergencies by fire units","Queens","3,190","571.03"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Queens","411","31.39"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Queens","411","64.72"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Queens","411","3.89"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Queens","411","0.00"
"2025 / 07","FDNY","Average response time to structural fires","Staten Island","51","310.71"
"2025 / 07","FDNY","Average response time to non-structural fires","Staten Island","69","366.14"
"2025 / 07","FDNY","Average response time to non-fire emergencies","Staten Island","1,671","580.79"
"2025 / 07","FDNY","Average response time to life threatening medical emergencies by fire units","Staten Island","845","504.82"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Staten Island","120","38.33"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Staten Island","120","57.50"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Staten Island","120","4.17"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Staten Island","120","0.00"
"2025 / 07","FDNY","Average response time to non-structural fires","Unspecified","2","488.00"
"2025 / 07","FDNY","Average response time to non-fire emergencies","Unspecified","65","1,039.42"
"2025 / 07","FDNY","Average response time to life threatening medical emergencies by fire units","Unspecified","14","942.50"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Unspecified","2","0.00"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Unspecified","2","100.00"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Unspecified","2","0.00"
"2025 / 07","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Unspecified","2","0.00"
"2025 / 06","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Brooklyn","14,566","604.02"
"2025 / 06","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Bronx","11,709","861.83"
"2025 / 06","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Manhattan","12,545","719.17"
"2025 / 06","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Queens","10,524","666.23"
"2025 / 06","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Staten Island","2,352","576.79"
"2025 / 06","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Unspecified","51","723.75"
"2025 / 06","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Brooklyn","655","517.89"
"2025 / 06","EMS","Average response time to life threatening medical emergencies by ambulance units","Brooklyn","13,679","634.91"
"2025 / 06","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Brooklyn","28,116","929.51"
"2025 / 06","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Brooklyn","5,320","50.41"
"2025 / 06","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Bronx","434","612.36"
"2025 / 06","EMS","Average response time to life threatening medical emergencies by ambulance units","Bronx","10,170","880.33"
"2025 / 06","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Bronx","23,365","1,556.25"
"2025 / 06","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Bronx","2,830","24.59"
"2025 / 06","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Manhattan","467","559.00"
"2025 / 06","EMS","Average response time to life threatening medical emergencies by ambulance units","Manhattan","11,296","767.13"
"2025 / 06","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Manhattan","22,894","1,266.53"
"2025 / 06","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Manhattan","4,716","40.31"
"2025 / 06","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Queens","500","588.24"
"2025 / 06","EMS","Average response time to life threatening medical emergencies by ambulance units","Queens","9,641","726.54"
"2025 / 06","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Queens","20,883","1,043.91"
"2025 / 06","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Queens","3,133","36.39"
"2025 / 06","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Staten Island","108","512.29"
"2025 / 06","EMS","Average response time to life threatening medical emergencies by ambulance units","Staten Island","2,195","626.53"
"2025 / 06","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Staten Island","4,548","803.58"
